year,gross_income_€,single_males,single_males_total_gross_income_€m,single_females,single_females_total_gross_income_€m,married_couples_both_earning,married_couples_both_earning_total_gross_income_€m,married_couples_one_earning,married_couples_one_earning_total_gross_income_€m,widowers,widowers_total_gross_income_€m,widows,widows_total_gross_income_€m,all_taxpayers,all_taxpayers_total_gross_income_€m
2017,"50,000 - 60,000","32,750","1,788.81","29,995","1,632.12","75,667","4,135.63","31,015","1,693.91","1,948",106.09,"3,033",165.1,"174,408","9,521.65"
2017,"60,000 - 70,000","19,212","1,242.03","14,378",927.35,"45,707","2,952.86","19,259","1,245.86","1,064",68.74,"1,700",109.84,"101,320","6,546.68"
2017,"70,000 - 75,000","6,520",472.09,"4,710",340.76,"16,331","1,182.39","7,213",522.24,341,24.66,524,37.9,"35,639","2,580.04"
2017,"75,000 - 80,000","4,858",376.11,"3,354",259.51,"12,630",977.73,"5,676",439.56,314,24.36,387,29.91,"27,219","2,107.17"
2017,"80,000 - 90,000","7,236",612.2,"4,501",380.73,"17,872","1,513.62","8,481",718.26,415,35.13,489,41.37,"38,994","3,301.30"
2017,"90,000 - 100,000","4,567",432.37,"2,689",254.55,"12,146","1,150.02","5,866",555.63,272,25.77,296,27.99,"25,836","2,446.33"
2017,"100,000 - 150,000","8,400",995.95,"4,924",581.93,"26,039","3,108.61","13,760","1,652.83",560,66.48,638,75.93,"54,321","6,481.73"
2017,"150,000 - 200,000","2,029",345,"1,270",217.07,"8,294","1,423.82","4,927",846.39,188,32.36,196,33.82,"16,904","2,898.46"
2017,"200,000 - 275,000","1,129",261.09,628,145.15,"4,871","1,126.32","3,282",760.7,102,23.82,86,20.2,"10,098","2,337.27"
2017,"Over 275,000","1,091",600.33,500,265.71,"4,843","2,400.84","4,390","2,718.98",125,80.47,125,59.93,"11,074","6,126.26"
2016,"0 - 10,000","189,972",901.84,"170,600",805.22,"100,545",554.61,"81,564",423.43,"1,129",5.7,"2,323",12.11,"546,133","2,702.90"
2016,"10,000 - 12,000","35,954",395.05,"33,492",368.4,"38,620",424.25,"32,264",351.34,554,6.12,"1,331",14.76,"142,215","1,559.92"
2016,"12,000 - 15,000","48,427",653.6,"49,247",664.64,"57,739",773.89,"40,574",531.89,"2,581",35.38,"8,097",111.46,"206,665","2,770.86"
2016,"15,000 - 17,000","31,928",511.23,"32,498",520.11,"35,449",567.11,"17,112",273.6,"1,854",29.6,"5,644",90.09,"124,485","1,991.73"
2016,"17,000 - 20,000","49,330",913.45,"49,877",922.38,"54,551","1,008.58","24,992",462.06,"2,342",43.15,"7,464",137.81,"188,556","3,487.43"
2016,"20,000 - 25,000","77,387","1,739.66","69,531","1,556.56","90,744","2,046.43","42,748",965.43,"3,147",70.41,"10,633",237.61,"294,190","6,616.10"
2016,"25,000 - 27,000","28,762",747.51,"23,258",604.51,"36,448",947.57,"18,347",476.74,"1,118",29.06,"3,445",89.48,"111,378","2,894.86"
2016,"27,000 - 30,000","39,753","1,132.42","32,679",931.74,"53,782","1,533.50","26,468",754.88,"1,594",45.41,"4,370",124.22,"158,646","4,522.17"
2016,"30,000 - 35,000","59,249","1,921.05","52,353","1,700.00","88,626","2,879.36","41,051","1,332.63","2,230",72.35,"5,621",181.96,"249,130","8,087.36"
2016,"35,000 - 40,000","41,517","1,551.14","39,081","1,461.53","71,291","2,668.68","34,476","1,290.10","1,880",70.28,"4,073",152.23,"192,318","7,193.96"
2016,"40,000 - 50,000","50,349","2,241.11","51,916","2,312.93","106,784","4,769.22","47,708","2,126.26","3,209",143.19,"5,514",245.82,"265,480","11,838.54"
2016,"50,000 - 60,000","30,554","1,666.93","28,018","1,523.38","72,396","3,954.28","30,324","1,656.28","1,817",98.99,"2,810",153.18,"165,919","9,053.04"
2016,"60,000 - 70,000","17,162","1,108.20","13,185",850.56,"42,445","2,744.51","18,625","1,204.51","1,058",68.29,"1,586",102.32,"94,061","6,078.39"
2016,"70,000 - 75,000","5,698",412.51,"4,109",297.22,"14,575","1,054.98","6,592",477.23,324,23.46,525,38,"31,823","2,303.41"
2016,"75,000 - 80,000","4,321",334.48,"2,967",229.6,"11,298",874.68,"5,511",426.58,288,22.3,344,26.61,"24,729","1,914.25"
2016,"80,000 - 90,000","6,353",537.66,"4,006",338.88,"16,351","1,384.92","8,193",693.68,367,30.94,495,41.91,"35,765","3,028.00"
2016,"90,000 - 100,000","3,917",370.68,"2,398",227.07,"10,992","1,041.17","5,615",531.67,232,21.97,284,26.89,"23,438","2,219.44"
2016,"100,000 - 150,000","7,274",858.7,"4,405",519.11,"23,617","2,822.94","13,270","1,591.38",561,66.67,591,70.5,"49,718","5,929.30"
2016,"150,000 - 200,000","1,737",295.77,"1,096",186.79,"7,527","1,291.87","4,675",804.6,173,29.96,160,27.4,"15,368","2,636.40"
2016,"200,000 - 275,000",940,216.8,558,128.65,"4,484","1,035.89","3,084",714.36,100,23.31,93,21.65,"9,259","2,140.66"
2016,"Over 275,000",976,555.13,435,227.39,"4,467","2,185.22","4,131","2,503.74",101,73.61,114,51.29,"10,224","5,596.39"
