id,locationId,name,status,addressstreet,addresscity,addressstate,addresszip,addresscountryId,addresscountry,addressregionId,addressregion,gpslatitude,gpslongitude,dateOpened,stallCount,counted,elevationMeters,powerKilowatt,solarCanopy,battery,statusDays,urlDiscuss,hours
3752,,"Laguna Seca, CA",PERMIT,1021 Monterey Salinas Hwy,Salinas,CA,93908,100,USA,100,North America,36.582972,-121.752906,,8,true,238,250,false,false,188,true,
3753,GatineauQCsupercharger,"Gatineau, QC",PERMIT,1248 Bd la Vérendrye E,Gatineau,QC,J8P 0A9,101,Canada,100,North America,45.505495,-75.611733,,8,true,58,250,false,false,188,true,
3755,taoyuanchingpuglobalmall,"Taoyuan - Qingpu Global Shopping Center, Taiwan",OPEN,"320 No. 352, Section 2, High Speed Rail South Road, Zhongli District",Taoyuan,,,133,Taiwan,102,Asia Pacific,25.0021653,121.2018036,2021-10-10,6,true,85,250,false,false,0,true,
3756,keelungxiaodongroad,"Keelung - Xiaodong Road, Taiwan",OPEN,"201 No. 88 Xiaodong Road, Xinyi District",Keelung,,,133,Taiwan,102,Asia Pacific,25.12767442,121.780918,2021-10-10,4,true,59,250,false,false,0,true,
3761,,"Riverview - Hwy 301 S, FL",PERMIT,9617 US-301,Riverview,FL,33578,100,USA,100,North America,27.858153,-82.327561,,8,true,11,250,false,false,183,true,
3758,cuneosupercharger,"Cuneo, Italy",OPEN,"via Guido Martino 8, Bigstore Gallery",Cuneo,,,113,Italy,101,Europe,44.420839,7.55114,2021-11-30,2,true,507,100,false,false,0,true,
3751,MankatoMNsupercharger,"St. Peter, MN",OPEN,1002 Old Minnesota Ave,St. Peter,MN,56082,100,USA,100,North America,44.336448,-93.950131,2021-10-30,8,true,233,250,false,false,0,true,
3748,,"Innisfil (SC), ON",CONSTRUCTION,2474 Doral Dr,Innisfil,ON,L9S 0A3,101,Canada,100,North America,44.301184,-79.681511,,4,true,307,250,false,false,0,true,
3747,Jonkopingsesupercharger,"Jönköping, Sweden",OPEN,Kompanigatan 1,Jönköping,,553 05,109,Sweden,101,Europe,57.772279,14.199647,2021-12-29,20,true,101,250,false,false,0,true,
3749,exeteronsupercharger,"Exeter, ON",OPEN,100 Thames Rd E,Exeter,ON,N0M 1S3,101,Canada,100,North America,43.3626527,-81.4795456,2022-01-12,8,true,272,250,false,false,0,true,
3762,llanotxsupercharger,"Llano, TX",OPEN,115 E. Main St,Llano,TX,78643,100,USA,100,North America,30.750554,-98.67491,2022-01-07,8,true,310,250,false,false,0,true,
4111,VistaCASupercharger,"Vista, CA",CONSTRUCTION,401 Vista Village Dr,Vista,CA,92083,100,USA,100,North America,33.2008,-117.2455,,20,true,98,250,false,false,25,true,
3966,whartonTXsupercharger,"Wharton, TX",CONSTRUCTION,10484 US-59,Wharton,TX,77488,100,USA,100,North America,29.325098,-96.124308,,8,true,32,250,false,false,16,true,
3318,WoodbridgeVAsupercharger,"Woodbridge - Potomac Town Place, VA",OPEN,15201 Potomac Town Pl,Woodbridge,VA,22191,100,USA,100,North America,38.629244,-77.289539,2022-03-27,12,true,55,250,false,false,0,true,
4135,78900,"Al Ain - Aloft Hotel, UAE",OPEN,Al Ain Square,"Al Towayya, Al Ain",,,134,United Arab Emirates,102,Asia Pacific,24.24431,55.71567,2022-03-01,4,true,264,150,false,false,0,true,
4136,suiwocourtsupercharger,"Sui Wo Court, Hong Kong",OPEN,"Sui Wo Court Shopping Centre, Sui Wo Road, Fo Tan, New Territories,",Hong Kong,Hong Kong,,115,China,102,Asia Pacific,22.39216447541691,114.194388418311,2022-03-01,6,true,53,250,false,false,0,true,
4138,,"North Providence, RI",PERMIT,1874 Mineral Spring Avenue,North Providence,RI,02904,100,USA,100,North America,41.8605,-71.4662,,8,true,73,250,false,false,13,true,
4140,BerlinSchonebergerUferGermanysupercharger,"Berlin - Schöneberger Ufer, Germany",CONSTRUCTION,Schöneberger Ufer 3,Berlin,,10785,103,Germany,101,Europe,52.502693,13.37395,,20,true,37,250,false,false,12,true,
3719,AshlandVASupercharger,"Ashland, VA",CONSTRUCTION,12341 Washington Hwy,Ashland,VA,23005,100,USA,100,North America,37.745769,-77.472412,,8,true,66,250,false,false,186,true,
3754,taoyuanguishansupercharger,"Taoyuan - Guishan, Taiwan",OPEN,"334 Lane 52, Wensan 2nd Street, Guishan District",Taoyuan,,,133,Taiwan,102,Asia Pacific,25.056755,121.360149,2021-10-10,6,true,251,250,false,false,0,true,
3750,mountforestonsupercharger,"Mount Forest, ON",OPEN,101 Mt Forest Dr,Mount Forest,ON,N0G 2L2,101,Canada,100,North America,43.9882763,-80.743745,2021-12-09,8,true,415,250,false,false,0,true,
3542,westlakehillstxsupercharger,"West Lake Hills, TX",OPEN,701 S Capital of Texas Hwy,West Lake Hills,TX,78746,100,USA,100,North America,30.289722,-97.827417,2022-03-12,8,true,265,250,false,false,0,true,
4130,MocksvilleNCSupercharger,"Mocksville, NC",PERMIT,1449 Yadkinville Rd,Mocksville,NC,27028,100,USA,100,North America,35.9189,-80.5856,,8,true,255,250,false,false,16,true,
4137,,"The Quayside, Hong Kong",OPEN,"B2/F, 77 Hoi Bun Road, Kwun Tong, Kowloon",Hong Kong,Hong Kong,,115,China,102,Asia Pacific,22.3162507,114.213716,2022-03-01,3,true,2,250,false,false,0,true,
1062,vervierssupercharger,"Verviers, Belgium",OPEN,"Van Der Valk Hotel, Rue de la Station 4",Verviers,,087 30 56 56,112,Belgium,101,Europe,50.592323,5.848511,2017-06-29,12,true,163,250,false,false,0,true,
2747,OrlandoFLMilleniasupercharger,"Orlando - Millenia, FL",CONSTRUCTION,4750 Millenia Plaza Way,Orlando,FL,32839,100,USA,100,North America,28.492365,-81.429161,,12,true,31,250,false,false,12,true,
